# Lvl 100,Name,Hull Class,HP,EVA,LUK,Armor,EVA Rate,EVA Stat,DMG Red
1,purin,DD,210,105,100,Light,0,0,0
2,bulin,DD,210,105,100,Light,0,0,0
4,dewey,DD,1372,156,72,Light,0,0,0
5,cassin,DD,1446,156,66,Light,0,0,0
6,downes,DD,1446,156,63,Light,0,0,0
7,gridley,DD,1508,157,72,Light,0,0,0
8,craven,DD,1479,157,72,Light,0,0,0
9,mccall,DD,1437,156,69,Light,0,0,0
10,maury,DD,1508,190,69,Light,0,0,0
11,fletcher,DD,1746,156,73,Light,0,0.3,0
13,charles ausburne,DD,1775,154,82,Light,0,0,0
14,thatcher,DD,1712,154,65,Light,0,0,0
15,aulick,DD,1679,154,62,Light,0,0,0
16,foote,DD,1679,154,67,Light,0,0,0
17,spence,DD,1679,154,20,Light,0,0,0
18,benson,DD,1521,157,72,Light,0,0,0
19,laffey,DD,1650,157,18,Light,0,0,0
26,sims,DD,1513,154,45,Light,0,0,0
27,hammann,DD,1513,154,47,Light,0,0,0
28,eldridge,DD,1433,203,75,Light,0,0,0
29,omaha,CL,2865,79,67,Light,0,0,0
30,raleigh,CL,2865,79,82,Light,0,0,0
31,brooklyn,CL,3076,73,55,Light,0,0,0
32,phoenix,CL,3076,73,88,Light,0,0,0
33,helena,CL,3204,73,33,Light,0,0,0
34,atlanta,CL,3126,73,12,Light,0,0,0
35,juneau,CL,3126,73,18,Light,0,0,0
36,san diego,CL,3338,73,85,Light,0,0,0
37,cleveland,CL,3880,77,71,Light,0,0,0
38,columbia,CL,3880,77,70,Light,0,0,0
39,pensacola,CA,2911,23,75,Light,0,0,0
40,salt lake city,CA,2911,23,71,Light,0,0,0
41,northampton,CA,2961,23,27,Light,0,0,0
42,chicago,CA,3002,23,32,Light,0,0,0
43,houston,CA,3049,23,49,Light,0,0,0
44,portland,CA,4076,25,78,Medium,0,0,0
45,indianapolis,CA,4227,25,23,Medium,0,0,0
46,astoria,CA,3465,24,15,Medium,0,0,0
47,quincy,CA,3585,24,9,Medium,0,0,0
48,vincennes,CA,3585,24,12,Medium,0,0,0
49,wichita,CA,3297,23,70,Light,0,0,0
52,nevada,BB,5960,11,75,Heavy,0,0,0
53,oklahoma,BB,5960,11,38,Heavy,0,0,0
54,pennsylvania,BB,6165,11,72,Heavy,0,0,0
55,arizona,BB,6116,11,17,Heavy,0,0,0
58,tennessee,BB,6339,11,51,Heavy,0,0,0
59,california,BB,6339,11,36,Heavy,0,0,0
60,colorado,BB,6416,11,67,Heavy,0,0,0
61,maryland,BB,6466,11,70,Heavy,0,0,0
62,west virginia,BB,6416,11,61,Heavy,0,0,0
63,north carolina,BB,6798,18,81,Heavy,0,0,0
64,washington,BB,6996,18,89,Heavy,0,0,0
65,south dakota,BB,6953,18,76,Heavy,0,0,0
70,long island,CVL,4044,39,68,Medium,0,0,0
71,bogue,CVL,3379,39,78,Medium,0,0,0
72,langley,CVL,3845,38,32,Medium,0,0,0
73,lexington,CV,6116,34,35,Medium,0,0,0
74,saratoga,CV,6116,34,66,Medium,0,0,0
75,ranger,CVL,4120,49,71,Medium,0,0,0
76,yorktown,CV,5041,34,39,Medium,0,0,0
77,enterprise,CV,5385,49,93,Medium,0,0,0
78,hornet,CV,5063,34,15,Medium,0,0,0
79,wasp,CV,4219,31,20,Medium,0,0,0
80,vestal,AR,3986,16,79,Light,0,0,0
81,amazon,DD,1142,205,72,Light,0,0,0
82,acasta,DD,1142,203,43,Light,0,0,0
83,ardent,DD,1142,203,35,Light,0,0,0
86,beagle,DD,1124,203,71,Light,0,0,0.18
87,bulldog,DD,1124,203,65,Light,0,0,0.18
88,comet,DD,1133,204,54,Light,0,0,0
89,crescent,DD,1133,204,35,Light,0,0,0.18
90,cygnet,DD,1133,204,72,Light,0,0,0.18
91,foxhound,DD,1144,203,68,Light,0,0,0
92,fortune,DD,1168,203,68,Light,0,0,0.18
93,grenville,DD,1265,204,32,Light,0,0,0.18
94,glowworm,DD,1177,204,36,Light,0,0,0.18
96,hardy,DD,1265,204,40,Light,0,0,0
100,hunter,DD,1142,204,24,Light,0,0,0
101,javelin,DD,1317,204,65,Light,0,0,0
102,juno,DD,1280,204,40,Light,0,0,0
103,vampire,DD,1095,190,42,Light,0,0,0
104,leander,CL,2886,77,44,Light,0,0,0
105,achilles,CL,2632,73,54,Light,0,0,0
106,ajax,CL,2632,73,74,Light,0,0,0
111,sheffield,CL,3389,76,78,Light,0,0,0
114,edinburgh,CL,4078,76,37,Light,0,0,0
115,belfast,CL,3544,72,88,Light,0,0,0
116,arethusa,CL,2493,76,69,Light,0,0,0
117,galatea,CL,2493,76,26,Light,0,0,0
118,aurora,CL,2568,76,84,Light,0,0,0
119,london,CA,3137,22,62,Light,0,0,0
120,shropshire,CA,3049,22,75,Light,0,0,0
121,kent,CA,3090,21,71,Light,0,0,0
122,suffolk,CA,3074,21,72,Light,0,0,0
123,norfolk,CA,4126,24,69,Medium,0,0,0
124,dorsetshire,CA,4246,24,33,Medium,0,0,0
125,york,CA,3253,23,15,Medium,0,0,0
126,exeter,CA,3279,23,49,Medium,0,0,0
127,renown,BC,5283,22,85,Medium,0,0,0
128,repulse,BC,5133,21,28,Medium,0,0,0
129,hood,BC,7677,22,38,Medium,0,0,0
130,queen elizabeth,BB,6464,15,25,Heavy,0,0,0
131,warspite,BB,6710,15,90,Heavy,0,0,0
132,nelson,BB,6598,15,66,Heavy,0,0,0
133,rodney,BB,6577,13,81,Heavy,0,0,0
135,prince of wales,BB,6897,18,19,Heavy,0,0,0
136,duke of york,BB,6897,18,73,Heavy,0,0,0
140,hermes,CVL,3553,47,41,Medium,0,0,0
142,unicorn,CVL,4601,46,78,Medium,0,0,0
144,ark royal,CV,5311,33,87,Medium,0,0,0
145,illustrious,CV,5806,33,44,Heavy,0,0,0
146,victorious,CV,5445,33,82,Heavy,0,0,0
148,glorious,CV,5490,31,32,Medium,0,0,0
149,erebus,BM,3035,28,91,Light,0,0,0
150,terror,BM,3035,28,19,Light,0,0,0
151,fubuki,DD,1498,185,34,Light,0,0.3,0
155,ayanami,DD,1498,188,36,Light,0,0,0
159,akatsuki,DD,1456,188,45,Light,0,0,0
161,ikazuchi,DD,1456,188,52,Light,0,0,0
162,inazuma,DD,1456,188,57,Light,0,0,0
163,shiratsuyu,DD,1427,184,41,Light,0,0,0
164,yuudachi,DD,1524,184,32,Light,0,0,0
